2026-07-30 20:17:13,781 REQ-26584D | /accounts/login/ | VIEW | 13477ms | 16 | CRITICAL
2026-07-30 20:17:13,781 REQ-26584D | /accounts/login/ | MW_MODULE_ACCESS | 13531ms | 0 | CRITICAL
2026-07-30 20:17:13,781 REQ-26584D | /accounts/login/ | TEMPLATE | 0ms | 0 | OK
2026-07-30 20:17:13,781 REQ-26584D | /accounts/login/ | TOTAL | 13533ms | 16 | CRITICAL
2026-07-31 10:31:38,807 REQ-316EAC | /accounts/login/ | MIDDLEWARE_AUTH | 1ms | 0 | OK
2026-07-31 10:31:38,807 REQ-316EAC | /accounts/login/ | DB | 54ms | 16 | OK
2026-07-31 10:31:38,807 REQ-316EAC | /accounts/login/ | VIEW | 13612ms | 16 | CRITICAL
2026-07-31 10:31:38,807 REQ-316EAC | /accounts/login/ | MW_MODULE_ACCESS | 13664ms | 0 | CRITICAL
2026-07-31 10:31:38,807 REQ-316EAC | /accounts/login/ | TEMPLATE | 0ms | 0 | OK
2026-07-31 10:31:38,807 REQ-316EAC | /accounts/login/ | TOTAL | 13667ms | 16 | CRITICAL
2026-07-31 11:08:56,183 REQ-F20566 | /accounts/login/ | MIDDLEWARE_AUTH | 0ms | 0 | OK
2026-07-31 11:08:56,183 REQ-F20566 | /accounts/login/ | DB | 53ms | 16 | OK
2026-07-31 11:08:56,183 REQ-F20566 | /accounts/login/ | VIEW | 2105ms | 16 | SLOW
2026-07-31 11:08:56,183 REQ-F20566 | /accounts/login/ | MW_MODULE_ACCESS | 2156ms | 0 | SLOW
2026-07-31 11:08:56,183 REQ-F20566 | /accounts/login/ | TEMPLATE | 0ms | 0 | OK
2026-07-31 11:08:56,183 REQ-F20566 | /accounts/login/ | TOTAL | 2158ms | 16 | SLOW
2026-07-31 11:13:29,430 REQ-3DB96D | /accounts/login/ | MIDDLEWARE_AUTH | 0ms | 0 | OK
2026-07-31 11:13:29,430 REQ-3DB96D | /accounts/login/ | DB | 12ms | 16 | OK
2026-07-31 11:13:29,430 REQ-3DB96D | /accounts/login/ | VIEW | 2521ms | 16 | SLOW
2026-07-31 11:13:29,430 REQ-3DB96D | /accounts/login/ | MW_MODULE_ACCESS | 2531ms | 0 | SLOW
2026-07-31 11:13:29,430 REQ-3DB96D | /accounts/login/ | TEMPLATE | 0ms | 0 | OK
2026-07-31 11:13:29,430 REQ-3DB96D | /accounts/login/ | TOTAL | 2533ms | 16 | SLOW
2026-07-31 11:55:18,816 REQ-322814 | /rowlock/status/ | MIDDLEWARE_AUTH | 0ms | 0 | OK
2026-07-31 11:55:18,816 REQ-322814 | /rowlock/status/ | DB | 13ms | 3 | OK
2026-07-31 11:55:18,816 REQ-322814 | /rowlock/status/ | VIEW | 2546ms | 3 | SLOW
2026-07-31 11:55:18,816 REQ-322814 | /rowlock/status/ | MW_MODULE_ACCESS | 2504ms | 0 | SLOW
2026-07-31 11:55:18,816 REQ-322814 | /rowlock/status/ | TEMPLATE | 0ms | 0 | OK
2026-07-31 11:55:18,816 REQ-322814 | /rowlock/status/ | TOTAL | 2560ms | 3 | SLOW
2026-07-31 12:13:57,923 REQ-D546C3 | /dayplanning/dp_completed_table/ | MIDDLEWARE_AUTH | 11ms | 0 | OK
2026-07-31 12:13:57,923 REQ-D546C3 | /dayplanning/dp_completed_table/ | DB | 64ms | 45 | OK
2026-07-31 12:13:57,923 REQ-D546C3 | /dayplanning/dp_completed_table/ | VIEW | 883ms | 45 | OK
2026-07-31 12:13:57,923 REQ-D546C3 | /dayplanning/dp_completed_table/ | MW_MODULE_ACCESS | 1409ms | 0 | SLOW
2026-07-31 12:13:57,923 REQ-D546C3 | /dayplanning/dp_completed_table/ | TEMPLATE | 453ms | 0 | OK
2026-07-31 12:13:57,923 REQ-D546C3 | /dayplanning/dp_completed_table/ | TOTAL | 1412ms | 45 | SLOW
2026-07-31 12:41:40,477 REQ-7D1256 | /rowlock/status/ | MIDDLEWARE_AUTH | 0ms | 0 | OK
2026-07-31 12:41:40,477 REQ-7D1256 | /rowlock/status/ | DB | 1499ms | 3 | SLOW
2026-07-31 12:41:40,477 REQ-7D1256 | /rowlock/status/ | VIEW | 4ms | 3 | OK
2026-07-31 12:41:40,477 REQ-7D1256 | /rowlock/status/ | MW_MODULE_ACCESS | 1501ms | 0 | SLOW
2026-07-31 12:41:40,478 REQ-7D1256 | /rowlock/status/ | TEMPLATE | 0ms | 0 | OK
2026-07-31 12:41:40,478 REQ-7D1256 | /rowlock/status/ | TOTAL | 1503ms | 3 | SLOW
2026-07-31 15:19:45,798 REQ-10D0CB | /accounts/login/ | MIDDLEWARE_AUTH | 8ms | 0 | OK
2026-07-31 15:19:45,798 REQ-10D0CB | /accounts/login/ | DB | 0ms | 0 | OK
2026-07-31 15:19:45,798 REQ-10D0CB | /accounts/login/ | VIEW | 1ms | 0 | OK
